No,University,Program,Course Name,Course Type,Link,Cost,CleanCosts,term,Total program cost
1,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10010121300501A?,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/","[25500, 6375]",25500,204000
2,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10010121300599A?,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/","[25500, 6375]",25500,204000
3,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10020105300501A?,,[396800],49600.0,396800.0
4,มหาวิทยาลัยเกษตรศาสตร์ กำแพงแสน,วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10020220300501A?,"156,000",[156000],19500.0,156000.0
5,มหาวิทยาลัยเกษตรศาสตร์ ศรีราชา,วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10020328300502A?,"232,800",[232800],29100.0,232800.0
6,มหาวิทยาลัยเกษตรศาสตร์ เฉลิมพระเกียรติ จ.สกลนคร,วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10020430300501A?,,[396800],49600.0,396800.0
7,มหาวิทยาลัยขอนแก่น ขอนแก่น,วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10030104300501A?,ค่าธรรมเนียมการศึกษา (ชาวไทย) 20000 บาท/เทอม,[20000],20000.0,160000.0
8,มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10040106300501A?,"184,000",[184000],23000.0,184000.0
9,มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,วิศวกรรมคอมพิวเตอร์,วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10050210300501A?,"18,900 บาท ต่อภาคการศึกษา",[18900],18900,151200
10,มหาวิทยาลัยมหิดล ศาลายา,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,https://course.mytcas.com/programs/10060112300501A?,"30,000 บาท ต่อภาคการศึกษา",[30000],30000,240000
