ลำดับ,มหาวิทยาลัย,หลักสูตร,ลิงก์
1,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10010121300501A?
2,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10010121300599A?
3,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10020105300501A?
4,มหาวิทยาลัยเกษตรศาสตร์ กำแพงแสน,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10020220300501A?
5,มหาวิทยาลัยเกษตรศาสตร์ ศรีราชา,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10020328300502A?
6,มหาวิทยาลัยเกษตรศาสตร์ เฉลิมพระเกียรติ จ.สกลนคร,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10020430300501A?
7,มหาวิทยาลัยขอนแก่น ขอนแก่น,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10030104300501A?
8,มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10040106300501A?
9,มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10050210300501A?
10,มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10050222300501E?
11,มหาวิทยาลัยมหิดล ศาลายา,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10060112300501A?
12,มหาวิทยาลัยศรีนครินทรวิโรฒ องครักษ์,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10090209300501A?
13,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10100101300501A?
14,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10140107300502E?
15,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10140107300507A?
16,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10140108701904A?major=C
17,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ กรุงเทพฯ,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10150101300501A?
18,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10160101300501A?
19,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10160101300503E?
20,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10160101300504A?
21,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ชุมพรเขตรอุดมศักดิ์ จังหวัดชุมพร,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10160220300501A?
22,มหาวิทยาลัยเทคโนโลยีสุรนารี วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10170107300001A?
23,มหาวิทยาลัยเทคโนโลยีสุรนารี วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10170107300501A?
24,มหาวิทยาลัยนเรศวร วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10200120300501A?
25,มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10230125300501A?
26,มหาวิทยาลัยแม่ฟ้าหลวง,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10240113300501A?
27,มหาวิทยาลัยนราธิวาสราชนครินทร์,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10250105300501A?
28,มหาวิทยาลัยนครพนม,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10260106300502A?
29,มหาวิทยาลัยพะเยา,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10270102300501A?
30,มหาวิทยาลัยกาฬสินธุ์ วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10280104300501A?
31,มหาวิทยาลัยรามคำแหง,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10340101300501A?
32,มหาวิทยาลัยรามคำแหง,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10340101300506E?
33,สถาบันเทคโนโลยีจิตรลดา,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10350103300501A?
34,มหาวิทยาลัยราชภัฏพิบูลสงคราม,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/21520106300501A?
35,มหาวิทยาลัยราชภัฏสวนสุนันทา,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/21660105300516A?
36,มหาวิทยาลัยราชภัฏอุบลราชธานี วิทยาเขตหลัก,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/21710105300590A?
37,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31910102700901A?
38,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31910104300501A?
39,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31920104300501A?
40,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร พระนครเหนือ,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31940504300501A?
41,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ ศาลายา,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31950101300501A?
42,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วังไกลกังวล,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31950203300501A?
43,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31970104300501A?
44,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย ตรัง,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31970615300501A?
45,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา,วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/31990103300501A?
